filename     , method , norme , relax , regul , ePredA , ePredB , ePredavg , eDistrA , eDistrB , eDistravg , cpu   
tab1.txt     , joint  , 0     , 0.40  , 0.10  , 0.189  , 0.132  , 0.161    , 0.121   , 0.112   , 0.116     , 0.11  
tab10.txt    , joint  , 0     , 0.40  , 0.10  , 0.203  , 0.146  , 0.174    , 0.115   , 0.132   , 0.124     , 0.12  
tab100.txt   , joint  , 0     , 0.40  , 0.10  , 0.205  , 0.062  , 0.134    , 0.078   , 0.068   , 0.073     , 0.14  
tab11.txt    , joint  , 0     , 0.40  , 0.10  , 0.232  , 0.093  , 0.163    , 0.059   , 0.094   , 0.076     , 0.11  
tab12.txt    , joint  , 0     , 0.40  , 0.10  , 0.215  , 0.071  , 0.143    , 0.062   , 0.048   , 0.055     , 0.11  
tab13.txt    , joint  , 0     , 0.40  , 0.10  , 0.216  , 0.073  , 0.144    , 0.083   , 0.030   , 0.056     , 0.15  
tab14.txt    , joint  , 0     , 0.40  , 0.10  , 0.217  , 0.077  , 0.147    , 0.091   , 0.036   , 0.064     , 0.10  
tab15.txt    , joint  , 0     , 0.40  , 0.10  , 0.202  , 0.052  , 0.127    , 0.070   , 0.023   , 0.047     , 0.10  
tab16.txt    , joint  , 0     , 0.40  , 0.10  , 0.226  , 0.068  , 0.147    , 0.067   , 0.110   , 0.088     , 0.16  
tab17.txt    , joint  , 0     , 0.40  , 0.10  , 0.203  , 0.054  , 0.129    , 0.119   , 0.067   , 0.093     , 0.15  
tab18.txt    , joint  , 0     , 0.40  , 0.10  , 0.215  , 0.065  , 0.140    , 0.160   , 0.022   , 0.091     , 0.15  
tab19.txt    , joint  , 0     , 0.40  , 0.10  , 0.274  , 0.073  , 0.173    , 0.217   , 0.065   , 0.141     , 0.11  
tab2.txt     , joint  , 0     , 0.40  , 0.10  , 0.228  , 0.047  , 0.138    , 0.170   , 0.079   , 0.125     , 0.10  
tab20.txt    , joint  , 0     , 0.40  , 0.10  , 0.183  , 0.062  , 0.122    , 0.090   , 0.087   , 0.088     , 0.10  
tab21.txt    , joint  , 0     , 0.40  , 0.10  , 0.203  , 0.060  , 0.132    , 0.071   , 0.043   , 0.057     , 0.11  
tab22.txt    , joint  , 0     , 0.40  , 0.10  , 0.174  , 0.067  , 0.120    , 0.038   , 0.035   , 0.037     , 0.10  
tab23.txt    , joint  , 0     , 0.40  , 0.10  , 0.185  , 0.070  , 0.128    , 0.070   , 0.055   , 0.062     , 0.10  
tab24.txt    , joint  , 0     , 0.40  , 0.10  , 0.209  , 0.074  , 0.141    , 0.063   , 0.017   , 0.040     , 0.11  
tab25.txt    , joint  , 0     , 0.40  , 0.10  , 0.233  , 0.070  , 0.151    , 0.072   , 0.046   , 0.059     , 0.11  
tab26.txt    , joint  , 0     , 0.40  , 0.10  , 0.176  , 0.067  , 0.121    , 0.074   , 0.064   , 0.069     , 0.10  
tab27.txt    , joint  , 0     , 0.40  , 0.10  , 0.208  , 0.051  , 0.130    , 0.091   , 0.056   , 0.073     , 0.11  
tab28.txt    , joint  , 0     , 0.40  , 0.10  , 0.209  , 0.079  , 0.144    , 0.086   , 0.091   , 0.088     , 0.10  
tab29.txt    , joint  , 0     , 0.40  , 0.10  , 0.188  , 0.085  , 0.137    , 0.069   , 0.053   , 0.061     , 0.10  
tab3.txt     , joint  , 0     , 0.40  , 0.10  , 0.187  , 0.096  , 0.141    , 0.114   , 0.094   , 0.104     , 0.12  
tab30.txt    , joint  , 0     , 0.40  , 0.10  , 0.218  , 0.088  , 0.153    , 0.071   , 0.085   , 0.078     , 0.10  
tab31.txt    , joint  , 0     , 0.40  , 0.10  , 0.208  , 0.060  , 0.134    , 0.112   , 0.063   , 0.088     , 0.10  
tab32.txt    , joint  , 0     , 0.40  , 0.10  , 0.224  , 0.061  , 0.142    , 0.109   , 0.063   , 0.086     , 0.11  
tab33.txt    , joint  , 0     , 0.40  , 0.10  , 0.193  , 0.056  , 0.124    , 0.063   , 0.050   , 0.057     , 0.13  
tab34.txt    , joint  , 0     , 0.40  , 0.10  , 0.192  , 0.060  , 0.126    , 0.102   , 0.088   , 0.095     , 0.11  
